,framework,sample,id,link,number,title,state,locked,created_at,closed_at
136,android,googlesamples/android-play-billing,466059859,https://github.com/android/play-billing-samples/issues/209,209,I don't know what happend on users' phone,closed,False,2019-07-10 02:07:26,2019-07-16 13:36:40
12,android,googlesamples/google-services,636523368,https://github.com/googlesamples/google-services/issues/458,458,Design application Schema,closed,False,2020-06-10 20:23:31,2020-07-16 03:44:38
12,android,googlesamples/android-nearby,296184710,https://github.com/googlearchive/android-nearby/issues/51,51, Nearby.CONNECTIONS_API is not available on this device.,closed,True,2018-02-11 11:58:45,2018-02-12 01:42:03
4,android,googlesamples/identity-toolkit-android,125503547,https://github.com/googlearchive/identity-toolkit-android/issues/19,19,Error login Facebook integration,closed,True,2016-01-07 22:54:07,2019-10-04 18:07:50
306,android,googlesamples/android-play-billing,126068850,https://github.com/android/play-billing-samples/issues/3,3,getBuyIntentToReplaceSkus is not available in Google Play Billing Library r5,closed,False,2016-01-12 00:19:19,2017-06-01 03:45:18
7,android,googlesamples/android-custom-lint-rules,247885335,https://github.com/googlesamples/android-custom-lint-rules/issues/8,8,Can't depend on Android classes,closed,False,2017-08-04 02:22:24,2017-09-13 00:09:01
75,android,googlesamples/android-play-billing,602893319,https://github.com/android/play-billing-samples/issues/298,298,has already been added to the window manager,closed,False,2020-04-20 02:26:33,2020-08-18 22:13:15
110,android,googlesamples/easypermissions,242921262,https://github.com/googlesamples/easypermissions/issues/141,141,how to request a permission in application? ,closed,False,2017-07-14 07:39:13,2017-07-14 16:05:00
45,android,googlesamples/leanback-showcase,212883209,https://github.com/googlearchive/leanback-showcase/issues/20,20,setSearchAffordanceColors not working on BrowseFragment,closed,True,2017-03-08 22:58:32,2019-09-27 18:37:21
2,android,googlesamples/android-WearVerifyRemoteApp,249541874,https://github.com/googlearchive/android-WearVerifyRemoteApp/issues/1,1,"Getting ""You are missing the required phone app, please click on the button below to install it on your phone."" everytime",closed,True,2017-08-11 05:27:33,2017-08-11 16:24:31
1,android,googlesamples/android-RecyclerView,358321724,https://github.com/googlearchive/android-RecyclerView/issues/22,22,Recyclerview scroll lagg with android 8,closed,True,2018-09-08 19:28:12,2018-09-20 22:07:31
1,android,googlesamples/android-Camera2Raw,384033418,https://github.com/googlearchive/android-Camera2Raw/issues/23,23,App crash on both device and AVD at startup,closed,True,2018-11-25 00:04:50,2019-09-19 22:22:50
6,android,googlesamples/android-testing,443528127,https://github.com/android/testing-samples/issues/266,266,Build breaks with `--incompatible_use_python_toolchains`,closed,False,2019-05-13 17:58:30,2019-06-04 13:57:02
50,android,googlesamples/android-vision,206186008,https://github.com/googlesamples/android-vision/issues/192,192,How to Disable multiple barcode detection android Vision API,closed,False,2017-02-08 12:35:26,2017-02-16 20:11:16
182,android,googlesamples/google-services,131055424,https://github.com/googlesamples/google-services/issues/155,155,App Invites Play Store Box placeholder,closed,False,2016-02-03 15:17:59,2016-02-04 17:17:36
1,android,googlesamples/android-SlidingTabsColors,80120912,https://github.com/googlearchive/android-SlidingTabsColors/issues/1,1,nested fragment call a new fragment!,closed,True,2015-05-24 10:33:11,2019-10-17 23:02:46
49,android,googlesamples/leanback-showcase,182270938,https://github.com/googlearchive/leanback-showcase/issues/16,16,Changing layout,closed,True,2016-10-11 13:57:26,2016-12-30 08:46:19
25,android,googlesamples/leanback-showcase,311910326,https://github.com/googlearchive/leanback-showcase/issues/54,54,Crash in leanback BrowseFragment,closed,True,2018-04-06 09:36:43,2019-09-27 18:36:05
282,android,googlesamples/android-play-billing,190294572,https://github.com/android/play-billing-samples/issues/41,41,Why this code is different of the one in the sdk ?,closed,False,2016-11-18 11:14:02,2017-06-01 03:16:58
4,android,googlesamples/android-Camera2Basic,473215686,https://github.com/googlearchive/android-Camera2Basic/issues/158,158,Camera2 API sucks,closed,True,2019-07-26 07:23:25,2019-09-19 22:50:17
203,android,googlesamples/android-play-billing,311295351,https://github.com/android/play-billing-samples/issues/128,128,Check if user is qualified for introductory prices?,closed,False,2018-04-04 16:08:37,2019-08-20 18:30:31
1,android,googlesamples/android-custom-lint-rules,695289570,https://github.com/googlesamples/android-custom-lint-rules/issues/30,30,Lint detector tests are not executed when using jUnit5,closed,False,2020-09-07 17:09:04,2020-09-07 20:36:32
9,android,googlesamples/easypermissions,646633029,https://github.com/googlesamples/easypermissions/issues/306,306,Google ,closed,False,2020-06-27 07:52:56,2020-06-27 07:53:14
187,android,googlesamples/easypermissions,153084344,https://github.com/googlesamples/easypermissions/issues/17,17,Caller must be an Activity or a Fragment,closed,False,2016-05-04 18:36:44,2016-05-04 19:23:43
204,android,googlesamples/google-services,122536785,https://github.com/googlesamples/google-services/issues/125,125,Can't to import Google/SignIn into bridge file,closed,False,2015-12-16 15:53:49,2016-02-01 18:00:08
8,android,googlesamples/easypermissions,663471442,https://github.com/googlesamples/easypermissions/issues/310,310,API recommended,closed,False,2020-07-22 04:50:19,2020-07-22 10:23:46
278,android,googlesamples/google-services,91223920,https://github.com/googlesamples/google-services/issues/21,21, Could not find any version that matches com.google.android.gms:play-services-gcm:7.5.+.,closed,False,2015-06-26 10:56:41,2015-06-29 19:30:37
