,framework,sample,id,link,number,title,state,locked,created_at,closed_at
98,android,googlesamples/easypermissions,310815329,https://github.com/googlesamples/easypermissions/issues/211,211,Unable to give SMS permission on xiaomi Note 4,closed,False,2018-04-03 12:27:36,2018-05-30 17:14:26
107,android,googlesamples/android-Camera2Basic,167882651,https://github.com/googlearchive/android-Camera2Basic/issues/55,55,Camera not re initialize second time in 5.1.1,closed,True,2016-07-27 15:25:29,2019-09-19 22:57:07
160,android,googlesamples/android-play-billing,505966470,https://github.com/android/play-billing-samples/issues/238,238,TrivialDrive_v2 has not been updated to Billing Library 2,closed,False,2019-10-11 17:16:08,2019-12-26 18:55:41
108,android,googlesamples/easypermissions,295876963,https://github.com/googlesamples/easypermissions/pull/201,201,Fix invalid cast in LowApiPermissionsHelper,closed,False,2018-02-09 13:49:32,2018-02-09 15:57:20
61,android,googlesamples/easypermissions,359018153,https://github.com/googlesamples/easypermissions/issues/251,251,AfterPermissionGranted,closed,False,2018-09-11 12:11:43,2018-09-21 17:26:16
221,android,googlesamples/android-testing,102366373,https://github.com/android/testing-samples/issues/51,51,p force overwrite,closed,False,2015-08-21 12:15:03,2015-08-21 12:56:25
111,android,googlesamples/android-testing,368888883,https://github.com/android/testing-samples/pull/202,202,Update to androidx.test beta02 and use some of the new APIs,closed,False,2018-10-10 23:03:13,2018-10-10 23:36:39
44,android,googlesamples/android-play-billing,724811176,https://github.com/android/play-billing-samples/issues/383,383,Removing Google sign in,closed,False,2020-10-19 17:15:51,2020-10-22 18:35:00
367,android,googlesamples/google-services,91608177,https://github.com/googlesamples/google-services/issues/22,22,cant install GCM,closed,False,2015-06-28 15:12:28,2015-07-27 17:22:56
1,android,googlesamples/android-RuntimePermissions,388945231,https://github.com/googlearchive/android-RuntimePermissions/pull/23,23,Correct an error in javadoc,closed,True,2018-12-08 18:10:34,2019-09-26 22:23:37
256,android,googlesamples/google-services,124602444,https://github.com/googlesamples/google-services/issues/133,133,google-services.json,closed,False,2016-01-02 17:47:57,2016-01-06 17:06:59
