,framework,sample,id,link,number,title,state,locked,created_at,closed_at
5,spring,spring-guides/getting-started-guides,528459411,https://github.com/spring-guides/getting-started-guides/issues/118,118,Accessing Data with MongoDB - code samples not found,closed,False,2019-11-26 03:12:24,2019-11-27 18:37:37
13,spring,spring-guides/gs-consuming-rest,82295669,https://github.com/spring-guides/gs-consuming-rest/issues/9,9,error 403 forbidden,closed,False,2015-05-29 06:53:06,2015-05-29 11:52:00
14,spring,spring-guides/gs-rest-service,265956925,https://github.com/spring-guides/gs-rest-service/issues/69,69,add mvnw content for building from scratch,closed,False,2017-10-17 00:35:15,2020-01-15 11:03:49
9,spring,spring-guides/gs-producing-web-service,334402866,https://github.com/spring-guides/gs-producing-web-service/issues/14,14,Problem with JDK10 to generate the sources on windows 10,closed,False,2018-06-21 09:06:52,2018-06-21 13:53:14
13,spring,spring-guides/gs-serving-web-content,23115623,https://github.com/spring-guides/gs-serving-web-content/issues/6,6,This guide sucks,closed,False,2013-11-22 03:28:15,2013-11-22 13:20:01
2,spring,spring-guides/gs-accessing-data-gemfire,91316884,https://github.com/spring-guides/gs-accessing-data-gemfire/issues/5,5,Maven build/config issue,closed,False,2015-06-26 17:40:06,2015-09-17 20:16:44
1,spring,spring-guides/gs-batch-processing,371441277,https://github.com/spring-guides/gs-batch-processing/issues/27,27,Unnecessary Asciidoctor tags in code samples,closed,False,2018-10-18 09:32:33,2019-09-14 13:53:52
57,spring,spring-guides/tut-spring-boot-oauth2,150616924,https://github.com/spring-guides/tut-spring-boot-oauth2/issues/14,14,BadCredentialException in client application,closed,False,2016-04-24 02:25:05,2016-04-25 08:05:57
4,spring,spring-guides/gs-messaging-stomp-websocket,552828373,https://github.com/spring-guides/gs-messaging-stomp-websocket/issues/60,60,jquery webjars is broken again,closed,False,2020-01-21 11:51:04,2020-01-27 16:18:03
7,spring,spring-guides/gs-spring-boot,376767423,https://github.com/spring-guides/gs-spring-boot/issues/55,55,Where to put the application.properties file,closed,False,2018-11-02 11:11:03,2018-11-02 21:17:04
19,spring,spring-guides/gs-spring-boot-docker,331427871,https://github.com/spring-guides/gs-spring-boot-docker/issues/52,52,"A springboot jar in ubuntu, when I use it in centos, it can't be used",closed,False,2018-06-12 03:51:04,2018-06-12 03:51:17
39,spring,spring-guides/gs-spring-boot-docker,140709071,https://github.com/spring-guides/gs-spring-boot-docker/issues/15,15,Running this docker container in Cloud Foundry,closed,False,2016-03-14 15:33:26,2016-03-15 03:13:24
1,spring,spring-guides/gs-messaging-stomp-websocket,650960412,https://github.com/spring-guides/gs-messaging-stomp-websocket/issues/65,65,CROS origin issue ,closed,False,2020-07-04 21:41:40,2020-09-28 10:48:04
0,spring,spring-guides/gs-accessing-data-neo4j,171463452,https://github.com/spring-guides/gs-accessing-data-neo4j/issues/18,18,Example build failed because of changes after Spring data neo4j ,closed,False,2016-08-16 16:47:04,2016-08-28 12:30:44
3,spring,spring-guides/gs-async-method,221944961,https://github.com/spring-guides/gs-async-method/issues/7,7,Use CompletableFuture instead of Future,closed,False,2017-04-15 12:12:55,2017-06-06 20:29:46
15,spring,spring-guides/gs-multi-module,238908343,https://github.com/spring-guides/gs-multi-module/issues/3,3,Document how to run from command-line,closed,False,2017-06-27 16:23:50,2017-06-28 10:20:31
0,spring,spring-guides/gs-vault-config,441261894,https://github.com/spring-guides/gs-vault-config/issues/10,10,Sprin.IO article is broken,closed,False,2019-05-07 14:23:11,2019-05-18 10:07:30
10,spring,spring-guides/gs-consuming-rest,107735304,https://github.com/spring-guides/gs-consuming-rest/issues/13,13,Guide doesn't work in a plain IDE due to the use of Lombok,closed,False,2015-09-22 15:09:24,2015-09-23 17:09:19
