,framework,sample,id,link,number,title,state,locked,created_at,closed_at
4,spring,spring-guides/gs-producing-web-service,551850030,https://github.com/spring-guides/gs-producing-web-service/issues/28,28,Describe that an  explicit XSD file location is required in maven to generate source files,closed,False,2020-01-19 01:29:01,2020-02-03 14:30:25
0,spring,spring-guides/gs-authenticating-ldap,296534077,https://github.com/spring-guides/gs-authenticating-ldap/issues/25,25,Problems with displaying several code snippets on the guide page,closed,False,2018-02-12 21:40:58,2018-02-12 21:43:58
9,spring,spring-guides/gs-rest-service-cors,54371545,https://github.com/spring-guides/gs-rest-service-cors/issues/4,4,Remove unnecessary dependencies,closed,False,2015-01-14 20:22:43,2015-01-15 15:42:49
27,spring,spring-guides/gs-spring-boot,29244059,https://github.com/spring-guides/gs-spring-boot/issues/10,10,Sample not working with jetty...,closed,False,2014-03-12 08:08:43,2014-03-13 16:10:42
13,spring,spring-guides/gs-consuming-rest,82295669,https://github.com/spring-guides/gs-consuming-rest/issues/9,9,error 403 forbidden,closed,False,2015-05-29 06:53:06,2015-05-29 11:52:00
9,spring,spring-guides/gs-spring-boot-docker,399814428,https://github.com/spring-guides/gs-spring-boot-docker/issues/66,66,Improve the note regarding the external volume for /tmp in the Dockerfile,closed,False,2019-01-16 13:43:07,2020-01-06 11:43:24
27,spring,spring-guides/getting-started-guides,243081183,https://github.com/spring-guides/getting-started-guides/issues/46,46,New guide for Spring Cloud GCP,closed,False,2017-07-14 18:52:14,2018-02-06 20:19:59
13,spring,spring-guides/gs-serving-web-content,23115623,https://github.com/spring-guides/gs-serving-web-content/issues/6,6,This guide sucks,closed,False,2013-11-22 03:28:15,2013-11-22 13:20:01
24,spring,spring-guides/tut-rest,273259185,https://github.com/spring-guides/tut-rest/issues/42,42,Mime type */* is rendered wrong in README.adoc,closed,False,2017-11-12 19:51:18,2019-04-22 14:20:17
