,framework,sample,id,link,number,title,state,locked,created_at,closed_at
43,android,googlesamples/android-Camera2Basic,330825508,https://github.com/googlearchive/android-Camera2Basic/issues/111,111,gradle build for project failing.,closed,True,2018-06-08 22:58:59,2019-09-19 22:52:42
44,android,googlesamples/android-play-location,103450307,https://github.com/android/location-samples/issues/21,21,MainActivityTest failing,closed,False,2015-08-27 07:58:46,2017-10-17 06:59:29
3,android,googlesamples/android-DirectorySelection,298024880,https://github.com/googlearchive/android-DirectorySelection/issues/5,5,This is the worst API in all of android,closed,True,2018-02-17 18:19:00,2019-09-05 23:25:24
3,android,googlesamples/android-NotificationChannels,294749129,https://github.com/googlearchive/android-NotificationChannels/issues/18,18,How to turn off vibrations on Android O,closed,True,2018-02-06 12:55:12,2018-08-27 02:04:31
32,android,googlesamples/android-instant-apps,236157811,https://github.com/googlearchive/android-instant-apps/issues/13,13,Don't like productFlavors in all feature modules,closed,True,2017-06-15 11:24:14,2017-07-06 09:25:22
18,android,googlesamples/android-credentials,254602149,https://github.com/googlearchive/android-credentials/issues/19,19,Smart-lock: Click outside dialog handle bottom clicks :/,closed,True,2017-09-01 10:35:26,2019-09-10 21:09:25
14,android,googlesamples/android-play-places,232517330,https://github.com/googlearchive/android-play-places/issues/60,60,PlaceAutocomplete.IntentBuilder intent with only english language.,closed,True,2017-05-31 10:03:11,2019-10-04 22:24:45
12,android,googlesamples/androidtv-Leanback,411100059,https://github.com/googlearchive/androidtv-Leanback/issues/142,142,Video Can not make full screen.,closed,True,2019-02-16 18:41:04,2019-02-16 19:02:18
39,android,googlesamples/androidtv-Leanback,289846554,https://github.com/googlearchive/androidtv-Leanback/issues/109,109,PlaybackSeekDataProvider can not seek to zero,closed,True,2018-01-19 02:50:29,2018-01-23 03:48:41
6,android,googlesamples/android-custom-lint-rules,368248172,https://github.com/googlesamples/android-custom-lint-rules/issues/16,16,Annotation processors must be explicitly declared now,closed,False,2018-10-09 14:45:22,2018-10-09 16:20:17
13,android,googlesamples/android-WatchFace,128425613,https://github.com/googlearchive/android-WatchFace/issues/6,6,Play Services Fitness is v8.3 where Play Services Wearable is set to v8.4,closed,True,2016-01-24 21:15:13,2016-08-24 22:27:07
39,android,googlesamples/android-testdpc,222361103,https://github.com/googlesamples/android-testdpc/issues/30,30,not able to verify disallow debugging features,closed,False,2017-04-18 09:51:42,2017-04-19 09:36:42
64,android,googlesamples/androidtv-Leanback,186543798,https://github.com/googlearchive/androidtv-Leanback/issues/80,80,Reloading data in BrowseFragment,closed,True,2016-11-01 14:13:37,2019-09-27 18:26:09
29,android,googlesamples/android-Camera2Video,283349954,https://github.com/googlearchive/android-Camera2Video/issues/69,69,No error but no video file,closed,True,2017-12-19 19:53:12,2019-09-19 22:33:40
4,android,googlesamples/android-BluetoothChat,139861517,https://github.com/googlearchive/android-BluetoothChat/issues/2,2,How do I support Bluetooth LE / Bluetooth Smart?,closed,True,2016-03-10 11:32:17,2016-03-10 13:28:25
43,android,googlesamples/androidtv-Leanback,282370585,https://github.com/googlearchive/androidtv-Leanback/issues/102,102,build for android 6.0,closed,True,2017-12-15 09:42:35,2017-12-28 01:32:53
108,android,googlesamples/android-testing,52574019,https://github.com/android/testing-samples/issues/2,2,Test integration and Android Studio,closed,False,2014-12-20 19:27:47,2014-12-23 10:21:04
204,android,googlesamples/google-services,122536785,https://github.com/googlesamples/google-services/issues/125,125,Can't to import Google/SignIn into bridge file,closed,False,2015-12-16 15:53:49,2016-02-01 18:00:08
0,android,googlesamples/android-testdpc,719231813,https://github.com/googlesamples/android-testdpc/issues/121,121,SelfUpdate DPC,closed,False,2020-10-12 09:40:29,2020-10-13 07:47:40
136,android,googlesamples/android-play-billing,466059859,https://github.com/android/play-billing-samples/issues/209,209,I don't know what happend on users' phone,closed,False,2019-07-10 02:07:26,2019-07-16 13:36:40
101,android,googlesamples/android-testing,64196079,https://github.com/android/testing-samples/issues/14,14,[UiAutomator] Permission denied when taking screen shot.,closed,False,2015-03-25 07:00:50,2015-03-31 09:37:25
109,android,googlesamples/android-Camera2Basic,126746594,https://github.com/googlearchive/android-Camera2Basic/issues/30,30,Image isnt captured with front camera,closed,True,2016-01-14 20:58:19,2019-09-19 22:59:13
187,android,googlesamples/easypermissions,153084344,https://github.com/googlesamples/easypermissions/issues/17,17,Caller must be an Activity or a Fragment,closed,False,2016-05-04 18:36:44,2016-05-04 19:23:43
4,android,googlesamples/android-DownloadableFonts,230384758,https://github.com/googlearchive/android-DownloadableFonts/issues/2,2,Roboto: Font request failed with reason code: -1,closed,True,2017-05-22 12:48:10,2017-05-24 06:41:16
11,android,googlesamples/android-vision,351449032,https://github.com/googlesamples/android-vision/issues/377,377,Drone camera,closed,False,2018-08-17 03:59:23,2018-08-21 14:54:53
94,android,googlesamples/android-play-billing,546549988,https://github.com/android/play-billing-samples/issues/267,267,TrivialDriveKotlin BillingRepository fragile public functions,closed,False,2020-01-07 22:51:11,2021-05-03 22:29:21
46,android,googlesamples/android-Camera2Basic,310481608,https://github.com/googlearchive/android-Camera2Basic/issues/105,105,camera quality bad,closed,True,2018-04-02 13:14:07,2019-09-19 22:52:49
5,android,googlesamples/android-DirectBoot,150336653,https://github.com/googlearchive/android-DirectBoot/issues/1,1,Dose not work on preview N  2,closed,True,2016-04-22 10:49:01,2016-05-23 05:57:43
74,android,googlesamples/google-services,212311652,https://github.com/googlesamples/google-services/issues/301,301,Google Sign in fails with Play Services 10.2.XX on older devices,closed,False,2017-03-07 02:26:02,2017-03-08 17:13:29
38,android,googlesamples/android-vision,248712062,https://github.com/googlesamples/android-vision/issues/259,259,Text Recognition,closed,False,2017-08-08 13:17:58,2017-10-31 17:24:38
288,android,googlesamples/google-services,84796295,https://github.com/googlesamples/google-services/issues/6,6,Does not work after reboot,closed,False,2015-06-03 22:19:48,2015-07-24 18:01:53
5,android,googlesamples/android-CardEmulation,398445512,https://github.com/googlearchive/android-CardEmulation/issues/7,7,Send data over nfc to ios using ndef protocol,closed,True,2019-01-11 20:45:16,2019-10-04 17:52:53
24,android,googlesamples/android-testing,333081203,https://github.com/android/testing-samples/issues/188,188,This version of UI Automator is deprecated,closed,False,2018-06-17 18:06:16,2018-12-11 19:37:34
82,android,googlesamples/android-Camera2Basic,177632282,https://github.com/googlearchive/android-Camera2Basic/issues/60,60,Front Camera,closed,True,2016-09-18 06:08:41,2019-09-19 22:56:52
2,android,googlesamples/android-RuntimePermissions,284888037,https://github.com/googlearchive/android-RuntimePermissions/issues/20,20,Android Studio Import Issue,closed,True,2017-12-28 10:38:12,2019-09-26 22:22:31
45,android,googlesamples/leanback-showcase,212883209,https://github.com/googlearchive/leanback-showcase/issues/20,20,setSearchAffordanceColors not working on BrowseFragment,closed,True,2017-03-08 22:58:32,2019-09-27 18:37:21
76,android,googlesamples/android-vision,163188940,https://github.com/googlesamples/android-vision/issues/106,106,Errata in codelab's mobile-vision-ocr tutorial,closed,False,2016-06-30 15:06:29,2016-06-30 16:42:49
216,android,googlesamples/google-services,118922858,https://github.com/googlesamples/google-services/issues/111,111,Unable to retrieve IdToken and server auth code,closed,False,2015-11-25 20:57:41,2016-01-20 22:12:38
1,android,googlesamples/android-BluetoothAdvertisements,179135418,https://github.com/googlearchive/android-BluetoothAdvertisements/issues/4,4,"Scanner on Samsung SM-G850S discovers LG G5, but the on on LG G5 is unable to find SM-850S",closed,True,2016-09-26 04:04:19,2016-09-26 05:25:28
1,android,googlesamples/android-custom-lint-rules,695289570,https://github.com/googlesamples/android-custom-lint-rules/issues/30,30,Lint detector tests are not executed when using jUnit5,closed,False,2020-09-07 17:09:04,2020-09-07 20:36:32
94,android,googlesamples/androidtv-Leanback,89917879,https://github.com/googlearchive/androidtv-Leanback/issues/38,38,programmatically set the scroll position of a browsefragment,closed,True,2015-06-21 14:25:08,2016-07-23 02:21:46
17,android,googlesamples/android-play-location,310206212,https://github.com/android/location-samples/issues/137,137,Broadcast Limitations introduced in Android O,closed,False,2018-03-31 02:43:14,2018-04-03 06:20:53
64,android,googlesamples/android-vision,185614901,https://github.com/googlesamples/android-vision/issues/147,147,Barcode not detecting from Code 39 Image Bitmap using Frame with BarcodeDetector,closed,False,2016-10-27 09:18:30,2016-10-27 17:58:51
89,android,googlesamples/android-Camera2Basic,164844026,https://github.com/googlearchive/android-Camera2Basic/issues/52,52,Camera layout is skewed after being resumed from lock screen?,closed,True,2016-07-11 14:00:10,2019-09-19 22:57:19
34,android,googlesamples/android-vision,263140242,https://github.com/googlesamples/android-vision/issues/270,270,Detect qr code only particular area of camera view  ,closed,False,2017-10-05 14:11:04,2017-11-01 14:53:43
249,android,googlesamples/google-services,104951175,https://github.com/googlesamples/google-services/issues/62,62,Emulator problem,closed,False,2015-09-04 19:07:36,2015-09-19 00:19:16
84,android,googlesamples/android-Camera2Basic,173383149,https://github.com/googlearchive/android-Camera2Basic/issues/58,58,Not capturing picture (ViewPostImeInputStage ACTION_DOWN) - Galaxy Tab4 10.1 3G,closed,True,2016-08-26 06:59:52,2019-09-19 22:56:58
63,android,googlesamples/android-play-places,68634412,https://github.com/googlearchive/android-play-places/issues/7,7,problems to get this project working in eclipse,closed,True,2015-04-15 10:00:45,2015-04-20 01:19:31
24,android,googlesamples/android-FingerprintDialog,168802265,https://github.com/googlearchive/android-FingerprintDialog/issues/34,34,"How come I can't press ""Purchase"" ?",closed,True,2016-08-02 05:27:49,2019-09-06 15:52:02
100,android,googlesamples/android-play-billing,539869006,https://github.com/android/play-billing-samples/issues/257,257,not getting IAP pop up,closed,False,2019-12-18 19:20:26,2020-02-21 22:41:44
24,android,googlesamples/android-vision,276826043,https://github.com/googlesamples/android-vision/issues/292,292,FaceTracker sample is rotated by 90 degress,closed,False,2017-11-26 13:47:53,2017-11-26 14:56:28
0,android,googlesamples/android-GridViewPager,203343906,https://github.com/googlearchive/android-GridViewPager/issues/2,2,minSdkVersion and targetSdkVersion,closed,True,2017-01-26 11:01:42,2017-02-09 17:59:51
263,android,googlesamples/google-services,100286929,https://github.com/googlesamples/google-services/issues/38,38,"[AppInvite] Message failed to send - ""create invitations failed due to error code 13""",closed,False,2015-08-11 10:51:21,2015-09-22 00:16:13
67,android,googlesamples/google-services,227988748,https://github.com/googlesamples/google-services/issues/315,315,Error after integrating GoogleSignIn in app through Pod.,closed,False,2017-05-11 13:19:53,2017-05-16 20:56:54
0,android,googlesamples/android-CustomNotifications,109462731,https://github.com/googlearchive/android-CustomNotifications/issues/1,1,Notification doesn't collapse,closed,True,2015-10-02 09:51:38,2015-11-12 11:05:48
10,android,googlesamples/android-JobScheduler,60643417,https://github.com/googlearchive/android-JobScheduler/issues/2,2,Can JobScheduler  run on API level 18 or minimum API 21 is required?,closed,True,2015-03-11 11:16:53,2015-03-11 11:52:08
84,android,googlesamples/android-testing,97309689,https://github.com/android/testing-samples/issues/43,43,Espresso Web sample first test always fails.,closed,False,2015-07-26 11:24:57,2015-08-19 16:40:58
291,android,googlesamples/google-services,82598741,https://github.com/googlesamples/google-services/issues/1,1,Analytics: cannot find symbol variable xml,closed,False,2015-05-29 21:42:27,2015-06-17 16:28:43
37,android,googlesamples/android-vision,250047768,https://github.com/googlesamples/android-vision/issues/261,261,What's happening? libocr.so is not downloading!,closed,False,2017-08-14 14:27:44,2017-08-24 00:48:00
5,android,googlesamples/android-PdfRendererBasic,301305604,https://github.com/googlearchive/android-PdfRendererBasic/issues/21,21,How to open password protected PDFs?,closed,True,2018-03-01 07:38:53,2019-09-10 20:08:14
6,android,googlesamples/android-testing,443528127,https://github.com/android/testing-samples/issues/266,266,Build breaks with `--incompatible_use_python_toolchains`,closed,False,2019-05-13 17:58:30,2019-06-04 13:57:02
0,android,googlesamples/android-JumpingJack,480921533,https://github.com/googlearchive/android-JumpingJack/issues/2,2,Android X migration is not complete,closed,True,2019-08-14 22:46:51,2019-09-02 23:39:49
15,android,googlesamples/android-fit,334875931,https://github.com/googlearchive/android-fit/issues/36,36,Unable to remove the listener from the SensorsApi.,closed,True,2018-06-22 13:21:32,2019-09-10 20:48:19
4,android,googlesamples/android-nearby,383976079,https://github.com/googlearchive/android-nearby/issues/72,72,No getSize() on Payload object?,closed,True,2018-11-24 10:04:07,2018-11-28 19:04:19
20,android,googlesamples/android-Camera2Basic,405665257,https://github.com/googlearchive/android-Camera2Basic/issues/140,140,Image not being captured in Android Emulator API 28,closed,True,2019-02-01 11:38:01,2019-09-19 22:51:48
34,android,googlesamples/android-instant-apps,233534500,https://github.com/googlearchive/android-instant-apps/issues/11,11,Unable to connect to Google Play Service.,closed,True,2017-06-05 09:15:04,2017-06-05 11:44:06
16,android,googlesamples/android-PdfRendererBasic,152720343,https://github.com/googlearchive/android-PdfRendererBasic/issues/8,8,Some Fatal Error,closed,True,2016-05-03 08:05:30,2016-09-26 02:50:37
157,android,googlesamples/google-services,142264646,https://github.com/googlesamples/google-services/issues/189,189,Unable to get profile image url ,closed,False,2016-03-21 05:50:35,2016-06-28 17:46:02
207,android,googlesamples/android-play-billing,306219499,https://github.com/android/play-billing-samples/issues/124,124,"Can not make purchase, purchase screen only show process.",closed,False,2018-03-18 07:32:36,2019-11-11 21:58:17
3,android,googlesamples/android-Camera2Raw,351705274,https://github.com/googlearchive/android-Camera2Raw/issues/20,20,"Does Not Run, null pointer exception",closed,True,2018-08-17 19:01:30,2019-09-19 22:22:56
231,android,googlesamples/google-services,112670908,https://github.com/googlesamples/google-services/issues/88,88,how does the app deal with iOS 9's `-application:handleURL:options:` callback?,closed,False,2015-10-21 20:19:10,2015-12-01 15:17:56
