framework,group,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,lifetime,lifetime per commit
Spring,BOTTOM,spring-guides/gs-accessing-data-gemfire,0.10127471387386322,2,2,2,2,13,3,10,0,0,0,0,0,3,1,0,10,0,14,7,2,8,0,5,0,0,3,0,119,35,84,53,27,0,0,0,0,49,56,37,19,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,10,10,10,10,3,2507,12.28921568627451
Spring,BOTTOM,spring-guides/gs-accessing-data-neo4j,0.4322338264901191,4,4,4,4,23,4,18,0,0,0,0,0,5,2,1,13,0,14,9,3,11,0,3,1,0,7,0,159,44,107,61,36,8,0,0,0,62,77,52,25,0,0,0,0,0,5,5,5,4,0,0,1,0,0,0,0,20,14,14,14,13,5,2560,11.689497716894977
Spring,BOTTOM,spring-guides/gs-accessing-gemfire-data-rest,0.1024116795451846,3,3,3,3,15,2,13,0,0,0,0,0,4,1,1,10,0,11,10,5,11,0,1,0,0,10,0,206,50,141,95,45,15,0,0,0,67,81,67,14,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,16,10,10,10,10,4,2253,20.2972972972973
Spring,BOTTOM,spring-guides/gs-accessing-mongodb-data-rest,0.39379066849748295,5,5,5,5,21,2,19,0,0,0,0,0,6,2,0,15,0,16,14,5,16,0,2,0,0,14,0,221,58,148,85,54,15,0,0,0,61,82,64,18,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,16,15,15,15,15,6,2259,20.35135135135135
Spring,BOTTOM,spring-guides/gs-accessing-neo4j-data-rest,0.27708053061117727,5,5,5,5,21,2,19,0,0,0,0,0,6,2,0,15,0,16,14,5,16,0,2,0,0,14,0,230,58,157,94,54,15,0,0,0,66,87,69,18,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,16,15,15,15,15,6,2259,17.6484375
Spring,BOTTOM,spring-guides/gs-accessing-vault,0.0,2,2,2,2,28,6,19,2,0,0,0,0,3,1,0,8,0,8,7,4,8,0,0,0,0,8,0,151,35,96,55,38,20,0,0,0,63,75,46,29,0,0,0,0,0,3,3,3,2,0,0,1,0,0,0,0,42,9,9,9,8,2,2381,20.885964912280702
Spring,BOTTOM,spring-guides/gs-actuator-service,0.4479047164010505,6,6,6,6,21,1,20,1,0,0,0,0,6,2,1,9,0,9,7,6,9,0,1,0,0,8,0,151,37,94,70,15,22,0,0,0,46,61,52,9,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,61,9,9,9,9,6,2554,11.934579439252337
Spring,BOTTOM,spring-guides/gs-authenticating-ldap,0.39451197236970376,6,6,6,6,29,1,28,0,0,0,0,0,6,2,0,8,0,8,6,1,8,0,0,0,1,7,0,145,27,99,60,29,20,0,0,0,38,52,44,8,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,64,8,8,8,8,6,2568,11.834101382488479
Spring,BOTTOM,spring-guides/gs-caching,0.43841833048500123,8,8,8,8,34,0,34,0,0,0,0,0,10,2,2,22,0,24,22,6,24,0,2,2,0,20,0,217,56,159,84,45,2,0,0,0,75,109,70,39,0,0,0,0,0,10,10,10,8,0,0,2,0,0,0,0,11,24,24,24,22,10,2381,20.525862068965516
Spring,BOTTOM,spring-guides/gs-caching-gemfire,0.21245133131742477,4,4,4,4,25,3,20,2,0,0,0,0,4,1,2,14,0,14,12,6,13,0,1,1,3,8,0,192,47,129,80,42,18,0,0,0,63,82,58,24,0,0,0,0,0,6,6,6,6,0,0,1,0,0,0,0,43,16,16,16,16,4,2498,13.358288770053475
Spring,BOTTOM,spring-guides/gs-centralized-configuration,0.30389556846967025,8,8,8,8,28,0,28,0,0,0,0,0,9,4,0,9,0,9,5,5,9,0,3,0,0,6,0,184,42,112,81,13,30,0,0,0,53,71,60,11,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,1,56,9,9,9,9,8,2573,11.486607142857142
Spring,BOTTOM,spring-guides/gs-circuit-breaker,0.12045569475740195,10,10,10,10,31,0,31,0,0,0,0,0,10,4,0,19,0,19,15,8,19,0,0,0,0,19,0,268,59,209,156,28,4,0,0,0,110,139,119,20,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,12,19,19,19,19,10,2381,18.6015625
Spring,BOTTOM,spring-guides/gs-client-side-load-balancing,0.00562206357717514,5,5,5,5,23,1,21,1,0,0,0,0,6,2,2,16,0,16,14,9,16,0,1,1,0,14,0,256,51,187,134,44,24,0,0,0,107,129,100,29,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,63,16,16,16,16,5,2381,18.6015625
Spring,BOTTOM,spring-guides/gs-contract-rest,0.16085711397722158,27,27,27,18,155,9,137,11,0,0,0,0,20,10,12,55,0,55,45,21,55,0,8,3,0,44,0,780,151,527,264,211,109,0,0,0,280,376,227,149,0,0,0,0,0,39,39,39,18,0,0,9,0,0,0,0,189,76,76,76,55,18,2381,17.76865671641791
Spring,BOTTOM,spring-guides/gs-crud-with-vaadin,0.1400887967320159,10,10,10,10,83,7,66,6,0,0,0,0,14,2,4,57,0,60,46,30,48,0,6,5,2,35,0,652,158,453,226,179,41,0,0,0,268,338,193,145,0,0,0,0,0,17,17,18,10,0,0,4,0,0,0,0,72,64,64,65,57,12,1758,14.898305084745763
