framework,group,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,lifetime,lifetime per commit
Android,TOP,googlesamples/android-AccelerometerPlay,0,1,1,1,1,12,0,8,2,0,0,0,0,4,0,3,22,0,22,22,26,22,0,1,1,4,16,0,429,52,264,122,146,114,0,0,0,185,225,119,106,0,0,0,0,0,6,5,6,1,0,0,4,0,0,0,0,43,39,36,40,22,1,1347,673.5
Android,TOP,googlesamples/android-ActionBarCompat-ShareActionProvider,0.0008065517176873982,4,4,4,4,36,1,20,12,0,0,0,0,6,1,3,25,0,25,24,9,25,0,1,1,2,21,0,461,75,219,96,105,168,0,0,0,116,152,88,64,0,0,0,0,0,11,9,11,4,0,0,3,0,0,0,2,197,34,32,34,25,4,2072,103.6
Android,TOP,googlesamples/android-ActiveNotifications,0.00010772451933007687,11,10,11,9,81,4,52,22,0,0,0,0,14,18,16,64,0,65,47,11,65,0,0,4,7,54,0,1086,141,495,214,242,450,0,0,0,249,343,192,151,0,0,0,0,0,27,22,27,11,0,0,10,0,0,0,12,472,89,84,89,66,10,1804,100.22222222222223
Android,TOP,googlesamples/android-ActivitySceneTransitionBasic,0.00034567290673625064,12,11,12,10,88,5,51,28,0,0,0,0,15,19,14,73,0,74,55,14,74,0,1,5,3,65,0,1161,162,499,199,238,502,0,0,0,239,342,191,151,0,0,0,0,0,29,24,32,12,0,0,10,0,0,0,13,567,95,90,98,75,11,2027,72.39285714285714
Android,TOP,googlesamples/android-ads,4.1879482943421375e-05,36,31,38,26,340,23,268,30,0,0,0,0,90,0,20,246,0,247,247,119,247,0,4,49,15,179,0,4033,576,2702,983,1528,761,0,0,0,1503,1906,923,983,0,0,0,0,0,107,89,113,26,0,0,27,0,0,0,0,895,390,371,403,246,26,1855,37.1
Android,TOP,googlesamples/android-AppShortcuts,0.0038893199525773525,5,5,6,4,31,1,25,4,0,0,0,0,7,1,8,43,0,43,38,7,39,0,0,11,5,23,0,558,93,375,148,195,95,0,0,0,204,274,140,134,0,0,0,0,0,13,13,14,7,0,0,5,0,0,0,2,63,69,68,72,46,4,1294,161.75
Android,TOP,googlesamples/android-AppUsageStatistics,0.03579606503869096,6,6,6,5,36,0,29,5,0,0,0,0,11,2,1,34,0,32,32,24,34,0,3,0,3,28,0,559,71,305,149,130,184,0,0,0,166,215,129,86,0,0,0,0,0,9,9,9,7,0,0,4,0,0,0,5,205,42,42,42,36,6,1968,93.71428571428571
Android,TOP,googlesamples/android-AsymmetricFingerprintDialog,0.00032326079154801037,11,11,11,9,70,0,56,9,0,0,0,0,20,0,5,66,0,69,71,42,71,0,5,8,2,56,0,1152,140,716,302,334,298,0,0,0,375,489,260,229,0,0,0,0,0,24,23,25,15,0,0,11,0,0,0,8,291,107,105,111,73,9,1671,75.95454545454545
Android,TOP,googlesamples/android-AutofillFramework,0.18392295888302268,120,116,129,84,834,12,764,30,0,0,0,0,2572,65,167446,668,0,705,589,272,654,0,48,122,66,418,0,248492,1464,182458,174904,172836,64575,0,0,0,172594,176338,173450,2888,0,0,0,0,0,304,280,343,132,0,0,101,0,0,0,177,4349,1303,1256,1401,738,348,1141,39.3448275862069
Android,TOP,googlesamples/android-BasicAccessibility,0.0015512645121715548,10,9,10,8,85,4,42,37,0,0,0,0,12,18,10,53,0,54,36,14,54,0,0,3,4,47,0,997,112,376,156,183,510,0,0,0,202,277,150,127,0,0,0,0,0,23,18,24,8,0,0,6,0,0,0,16,406,71,66,72,53,9,2072,79.6923076923077
Android,TOP,googlesamples/android-BasicAndroidKeyStore,0.0038165784710806542,15,13,15,10,108,8,64,32,0,0,0,0,13,18,20,58,0,59,41,9,59,0,0,1,4,54,0,1259,167,554,223,299,538,0,0,0,299,391,205,186,0,0,0,0,0,44,37,44,15,0,0,8,0,0,0,16,480,102,95,102,70,11,2072,79.6923076923077
Android,TOP,googlesamples/android-BasicManagedProfile,0,6,6,6,5,53,0,41,10,0,0,0,0,6,3,4,31,0,31,28,3,31,0,0,12,2,17,0,682,60,439,166,242,186,0,0,0,219,285,138,147,0,0,0,0,0,17,17,17,9,0,0,8,0,0,0,1,269,68,62,72,37,5,2140,82.3076923076923
Android,TOP,googlesamples/android-BasicMediaDecoder,0,7,7,8,4,74,7,42,24,0,0,0,0,8,7,3,24,0,26,19,13,26,0,2,4,1,19,0,757,108,382,136,220,268,0,0,0,198,272,125,147,0,0,0,0,0,20,19,23,11,0,0,7,0,0,0,0,205,67,66,73,36,3,2072,79.6923076923077
Android,TOP,googlesamples/android-BasicSyncAdapter,0.03169860098141191,24,22,25,16,212,5,124,77,0,0,0,0,26,21,63,117,0,118,97,22,118,0,1,12,2,103,0,2681,258,1241,534,671,1209,0,0,0,649,851,458,393,0,0,0,0,0,55,49,60,20,0,0,18,0,0,0,19,734,195,181,203,127,17,2072,76.74074074074075
Android,TOP,googlesamples/android-BasicTransition,9.793138120916079e-05,14,12,14,10,102,7,64,27,0,0,0,0,17,21,20,84,0,87,66,31,87,0,10,5,6,66,0,1469,215,721,303,361,533,0,0,0,396,531,282,249,0,0,0,0,0,38,30,41,12,0,0,13,0,0,0,12,517,131,123,138,86,11,2072,76.74074074074075
Android,TOP,googlesamples/android-BatchStepSensor,0.03946633940649917,25,20,25,17,172,10,117,35,0,0,0,0,37,18,54,185,0,194,176,74,194,0,0,30,10,154,0,3526,494,1879,650,1130,1159,0,0,0,985,1337,611,726,0,0,0,0,0,72,51,76,23,0,0,21,0,0,0,20,996,354,324,369,198,20,2072,79.6923076923077
Android,TOP,googlesamples/android-BluetoothAdvertisements,0.01234972725311915,7,7,7,5,72,8,46,12,0,0,0,0,11,2,10,50,0,50,48,16,50,0,1,16,2,31,0,987,173,553,225,296,261,0,0,0,304,392,199,193,0,0,0,0,0,24,19,24,7,0,0,12,0,0,0,3,273,84,79,84,52,6,1811,100.61111111111111
Android,TOP,googlesamples/android-BluetoothChat,0.003988499692544186,15,14,16,10,120,8,76,30,0,0,0,0,23,18,32,94,0,95,77,36,95,0,0,11,5,79,0,2011,255,1050,368,600,710,0,0,0,568,760,343,417,0,0,0,0,0,48,33,48,14,0,0,15,0,0,0,14,529,195,176,196,102,12,2041,78.5
Android,TOP,googlesamples/android-BluetoothLeGatt,0.0013209007447585464,7,7,7,4,38,0,32,3,0,0,0,0,15,2,18,52,0,52,50,30,52,0,1,8,7,36,0,938,101,664,236,390,173,0,0,0,364,476,209,267,0,0,0,0,0,15,15,19,8,0,0,8,0,0,0,1,90,106,103,115,59,4,2072,79.6923076923077
Android,TOP,googlesamples/android-Camera2Basic,0.003939202812034637,6,6,7,4,37,0,29,6,0,0,0,0,18,3,12,58,0,58,55,24,58,0,1,18,3,36,0,1204,142,748,236,459,315,0,0,0,349,475,220,255,0,0,0,0,0,23,20,27,9,0,0,7,0,0,0,2,177,126,119,144,67,4,2140,69.03225806451613
Android,TOP,googlesamples/android-Camera2Raw,0.004973116330802441,6,6,7,4,39,1,29,7,0,0,0,0,23,9,12,88,0,88,79,46,88,0,0,30,3,55,0,2022,245,1159,351,710,621,0,0,0,531,757,324,433,0,0,0,0,0,16,16,24,10,0,0,6,0,0,0,2,206,199,196,226,118,4,1804,100.22222222222223
Android,TOP,googlesamples/android-Camera2Video,0.0038355542346835136,5,5,6,3,28,0,26,2,0,0,0,0,14,4,9,50,0,50,46,18,50,0,0,18,2,30,0,874,98,612,185,373,164,0,0,0,303,413,180,233,0,0,0,0,0,14,14,16,7,0,0,7,0,0,0,1,87,104,102,118,62,3,2140,71.33333333333333
Android,TOP,googlesamples/android-CardEmulation,0.00011110851968017717,14,13,14,11,105,4,65,32,0,0,0,0,15,24,22,73,0,74,50,8,74,0,0,1,4,69,0,1296,151,562,256,280,588,0,0,0,306,421,241,180,0,0,0,0,0,30,25,30,11,0,0,10,0,0,0,13,645,104,99,104,73,12,2072,82.88
Android,TOP,googlesamples/android-CardView,0.002355192477504412,4,4,4,3,22,0,20,1,0,0,0,0,7,1,1,19,0,19,18,5,19,0,0,0,2,17,0,227,28,123,43,61,76,0,0,0,54,77,45,32,0,0,0,0,0,4,4,4,3,0,0,1,0,0,0,1,123,20,20,20,19,3,2041,75.5925925925926
Android,TOP,googlesamples/android-ConfirmCredential,0,2,2,2,1,16,0,12,3,0,0,0,0,2,0,4,8,0,8,8,1,8,0,0,5,2,1,0,204,20,135,55,79,49,0,0,0,73,89,51,38,0,0,0,0,0,4,4,4,1,0,0,3,0,0,0,0,36,17,17,17,8,1,1804,106.11764705882354
Android,TOP,googlesamples/android-credentials,0.0569367550094338,21,21,22,17,151,5,126,12,0,0,0,0,54,9,57,176,0,183,174,49,183,0,6,45,27,105,0,2464,344,1871,739,1004,252,0,0,0,988,1309,678,631,0,0,0,0,0,56,54,60,24,0,0,24,0,0,0,0,270,301,290,314,183,17,1804,66.81481481481481
Android,TOP,googlesamples/android-custom-lint-rules,0.04065396232804882,7,7,9,6,55,0,46,7,0,0,0,0,8,0,4,21,0,21,21,3,21,0,0,1,4,16,0,547,49,315,124,163,187,0,0,0,106,150,108,42,0,0,0,0,0,15,15,19,10,0,0,6,0,0,0,5,342,35,35,41,25,7,1763,58.766666666666666
Android,TOP,googlesamples/android-CustomNotifications,0,1,1,1,1,29,3,10,16,0,0,0,0,1,0,0,3,0,3,3,0,3,0,0,1,1,1,0,125,16,47,29,23,62,0,0,0,34,39,26,13,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,32,4,4,4,3,1,2072,82.88
Android,TOP,googlesamples/android-CustomTransition,0.00010772451933007687,11,10,12,9,84,4,52,24,0,0,0,0,13,18,13,60,0,61,43,9,61,0,0,2,3,56,0,1040,129,457,203,210,454,0,0,0,235,324,185,139,0,0,0,0,0,28,23,30,12,0,0,9,0,0,0,12,515,85,80,87,63,10,2072,76.74074074074075
Android,TOP,googlesamples/android-DeviceOwner,0.0018856601091101766,5,5,5,4,38,0,27,9,0,0,0,0,7,7,5,25,0,25,18,8,25,0,0,10,1,14,0,490,55,282,125,140,155,0,0,0,150,195,107,88,0,0,0,0,0,10,10,10,7,0,0,5,0,0,0,2,152,41,40,41,28,4,1863,98.05263157894737
Android,TOP,googlesamples/android-DirectBoot,0.0008233728197713693,14,14,15,9,100,1,87,10,0,0,0,0,19,5,12,56,0,57,52,26,57,0,1,0,2,54,0,984,127,616,307,301,241,0,0,0,359,450,274,176,0,0,0,0,0,21,21,25,13,0,0,9,0,0,0,1,366,73,73,77,60,9,1518,89.29411764705883
Android,TOP,googlesamples/android-DirectorySelection,0.0945336912991479,4,4,4,3,27,0,25,1,0,0,0,0,9,1,3,23,0,23,22,12,23,0,2,0,1,20,0,400,48,250,104,130,102,0,0,0,124,163,93,70,0,0,0,0,0,8,8,8,3,0,0,4,0,0,0,4,148,33,33,34,23,4,1968,85.56521739130434
Android,TOP,googlesamples/android-DirectShare,0.006398299350015198,8,8,8,6,70,0,46,24,0,0,0,0,10,2,5,22,0,22,20,10,22,0,0,5,4,13,0,508,56,252,111,133,200,0,0,0,130,170,95,75,0,0,0,0,0,12,12,12,8,0,0,5,0,0,0,4,324,34,34,35,24,6,1705,131.15384615384616
Android,TOP,googlesamples/android-DisplayingBitmaps,0.0002662318306864195,29,28,32,19,217,7,133,63,0,0,0,0,49,58,62,273,0,275,219,96,277,0,2,43,34,198,0,5452,567,2945,952,1650,2151,0,0,0,1306,1916,875,1041,0,0,0,0,0,102,97,119,31,0,0,37,0,0,0,17,962,571,560,621,303,21,2072,79.6923076923077
Android,TOP,googlesamples/android-DownloadableFonts,0.1310590704282125,3,3,3,2,18,0,17,0,0,0,0,0,9,0,10,30,0,30,30,13,30,0,7,7,1,15,0,412,54,290,100,180,70,0,0,0,146,192,104,88,0,0,0,0,0,9,9,12,4,0,0,2,0,0,0,1,92,44,44,50,32,3,1084,180.66666666666666
Android,TOP,googlesamples/android-EmojiCompat,0,4,4,4,3,29,1,25,2,0,0,0,0,5,0,5,13,0,13,13,3,13,0,1,2,1,9,0,259,49,143,81,63,67,0,0,0,77,99,69,30,0,0,0,0,0,6,6,6,3,0,0,3,0,0,0,0,157,17,17,17,13,3,1084,180.66666666666666
Android,TOP,googlesamples/android-FingerprintDialog,0.00016147071437444538,5,5,5,4,45,1,33,7,0,0,0,0,14,0,7,43,0,43,45,30,45,0,4,8,2,31,0,791,87,529,192,289,179,0,0,0,281,357,167,190,0,0,0,0,0,15,14,15,6,0,0,5,0,0,0,1,91,73,71,74,45,4,1804,69.38461538461539
Android,TOP,googlesamples/android-fit,0.009775007496383267,36,31,36,26,270,12,151,99,0,0,0,0,67,93,54,275,0,280,187,16,280,0,0,46,11,223,0,4575,483,2169,765,1196,1926,0,0,0,976,1400,746,654,0,0,0,0,0,106,81,106,28,0,0,36,0,0,0,60,1164,406,381,408,277,31,2106,36.94736842105263
Android,TOP,googlesamples/android-FloatingActionButtonBasic,0.0001522737623996694,14,12,14,10,89,4,56,24,0,0,0,0,15,18,13,67,0,69,51,10,69,0,1,1,6,61,0,1116,152,478,205,216,486,0,0,0,241,337,185,152,0,0,0,0,0,31,25,31,10,0,0,9,0,0,0,13,554,93,87,93,67,11,2080,80.0
Android,TOP,googlesamples/android-HdrViewfinder,0,8,8,8,5,65,3,48,9,0,0,0,0,21,2,12,64,0,67,65,56,67,0,4,9,4,50,0,1328,190,836,306,502,306,0,0,0,468,608,286,322,0,0,0,0,0,27,27,35,10,0,0,9,0,0,0,0,214,129,127,143,73,5,2027,81.08
Android,TOP,googlesamples/android-instant-apps,0.020370844188922394,26,26,28,24,169,3,141,13,0,0,0,0,48,8,23,165,0,169,161,83,169,0,5,27,21,116,0,2613,363,1693,773,826,564,0,0,0,934,1194,670,524,0,0,0,0,0,53,53,58,31,0,0,18,0,0,0,8,756,234,228,244,176,24,1084,21.254901960784313
Android,TOP,googlesamples/android-JobScheduler,0.00040445329634369246,11,9,11,8,78,3,47,24,0,0,0,0,13,18,16,62,0,63,45,18,63,0,1,4,3,55,0,1108,141,514,217,258,454,0,0,0,288,381,204,177,0,0,0,0,0,28,23,28,8,0,0,7,0,0,0,13,406,91,83,91,62,9,2140,79.25925925925925
Android,TOP,googlesamples/android-MediaBrowserService,0.0010549684779511557,11,11,11,9,77,1,65,5,0,0,0,0,27,8,12,105,0,115,107,49,115,0,2,23,12,78,0,1681,238,1151,436,583,293,0,0,0,528,718,363,355,0,0,0,0,0,40,34,43,9,0,0,13,0,0,0,2,203,183,174,192,105,9,1995,73.88888888888889
