framework,group,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,lifetime,lifetime per commit
Android,BOTTOM,googlesamples/account-transfer-api,0.003755894614317055,10,10,10,8,73,0,66,3,0,0,0,0,10,3,19,31,0,31,28,4,31,0,2,7,3,19,0,616,69,421,215,215,126,0,0,0,242,300,184,116,0,0,0,0,0,18,16,18,16,0,0,7,0,0,0,2,177,51,49,51,42,7,999,333.0
Android,BOTTOM,googlesamples/android-ActionBarCompat-Basic,0.002195120556280017,3,2,3,2,20,2,10,8,0,0,0,0,2,0,0,6,0,6,6,1,6,0,0,0,2,4,0,144,22,50,23,19,72,0,0,0,25,34,19,15,0,0,0,0,0,5,3,5,2,0,0,1,0,0,0,2,103,9,7,9,6,2,2072,79.6923076923077
Android,BOTTOM,googlesamples/android-ActionBarCompat-ListPopupMenu,0.003945116506656632,3,3,3,3,24,2,15,6,0,0,0,0,7,0,1,12,0,12,12,2,12,0,1,1,2,8,0,391,41,233,180,171,117,0,0,0,54,73,46,27,0,0,0,0,0,4,4,4,3,0,0,1,0,0,0,3,172,14,14,14,12,4,2072,79.6923076923077
Android,BOTTOM,googlesamples/android-ActionBarCompat-Styled,0.0018525210907682776,2,2,2,2,11,0,6,4,0,0,0,0,2,0,0,8,0,8,8,1,8,0,0,0,2,6,0,137,21,49,27,13,67,0,0,0,23,33,21,12,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,92,8,8,8,8,2,2072,82.88
Android,BOTTOM,googlesamples/android-ActivityInstrumentation,1.684247763478197e-05,9,8,9,7,87,7,45,32,0,0,0,0,13,18,18,49,0,50,32,7,50,0,0,1,1,48,0,896,110,351,140,184,439,0,0,0,184,252,140,112,0,0,0,0,0,21,16,21,7,0,0,5,0,0,0,13,381,65,60,65,49,8,2072,82.88
Android,BOTTOM,googlesamples/android-AdvancedImmersiveMode,0.00010772451933007687,12,11,12,9,108,8,65,31,0,0,0,0,15,18,11,61,0,62,44,13,62,0,0,1,4,57,0,1170,148,516,188,280,506,0,0,0,279,373,177,196,0,0,0,0,0,29,24,29,9,0,0,8,0,0,0,13,469,90,85,90,61,10,2072,82.88
Android,BOTTOM,googlesamples/android-AlwaysOn,0,1,1,1,1,19,3,11,4,0,0,0,0,4,0,6,12,0,12,12,16,12,0,1,2,0,9,0,396,68,198,77,117,130,0,0,0,123,146,68,78,0,0,0,0,0,3,3,3,1,0,0,2,0,0,0,0,66,20,20,20,12,1,1811,69.65384615384616
Android,BOTTOM,googlesamples/android-AppRestrictionEnforcer,0.031102001550607383,12,12,12,8,74,0,59,11,0,0,0,0,13,2,13,62,0,64,62,16,64,0,1,28,2,33,0,1126,116,728,297,370,282,0,0,0,367,502,257,245,0,0,0,0,0,33,33,34,12,0,0,15,0,0,0,7,382,119,117,120,66,9,1995,76.73076923076923
Android,BOTTOM,googlesamples/android-AppRestrictions,0,12,12,12,4,86,8,64,12,0,0,0,0,5,3,8,14,0,14,11,13,14,0,0,2,2,10,0,537,67,310,125,185,160,0,0,0,188,238,114,124,0,0,0,0,0,27,27,28,4,0,0,9,0,0,0,2,145,44,44,46,14,4,2072,79.6923076923077
Android,BOTTOM,googlesamples/android-AppRestrictionSchema,0.00011969391036675208,11,10,12,8,74,4,49,19,0,0,0,0,12,18,20,64,0,65,47,14,65,0,0,8,3,54,0,1081,130,548,216,279,403,0,0,0,283,394,201,193,0,0,0,0,0,30,25,32,13,0,0,11,0,0,0,12,397,107,102,115,69,9,2027,75.07407407407408
Android,BOTTOM,googlesamples/android-AutoBackupForApps,0.017374956980347633,6,6,8,4,37,1,34,0,0,0,0,0,8,1,9,28,0,26,27,7,28,0,0,9,2,17,0,566,74,372,142,223,120,0,0,0,204,268,130,138,0,0,0,0,0,16,14,17,9,0,0,4,0,0,0,2,102,62,60,71,40,4,1804,112.75
Android,BOTTOM,googlesamples/android-BasicContactables,0.0004836377047467977,12,11,12,8,88,6,49,30,0,0,0,0,11,18,12,53,0,54,36,7,54,0,0,2,3,49,0,956,123,395,169,193,444,0,0,0,197,279,157,122,0,0,0,0,0,30,25,30,8,0,0,8,0,0,0,13,463,78,73,78,53,9,2072,76.74074074074075
Android,BOTTOM,googlesamples/android-BasicGestureDetect,9.793138120916079e-05,13,11,13,10,90,5,54,24,0,0,0,0,14,20,12,67,0,68,48,7,68,0,0,3,4,61,0,1132,159,491,202,233,482,0,0,0,247,345,178,167,0,0,0,0,0,31,26,31,10,0,0,9,0,0,0,14,501,95,87,95,67,11,2072,82.88
Android,BOTTOM,googlesamples/android-BasicImmersiveMode,0.00010772451933007687,11,10,11,9,87,4,52,26,0,0,0,0,14,18,12,59,0,60,42,7,60,0,0,1,4,55,0,1010,125,422,175,205,463,0,0,0,214,300,162,138,0,0,0,0,0,25,20,25,9,0,0,8,0,0,0,13,468,78,73,78,59,10,2072,82.88
Android,BOTTOM,googlesamples/android-BasicMediaRouter,0.0004084434444343464,10,9,10,8,78,5,40,28,0,0,0,0,14,18,8,60,0,61,43,16,61,0,0,3,6,52,0,1099,143,427,166,206,529,0,0,0,217,303,158,145,0,0,0,0,0,25,20,27,8,0,0,7,0,0,0,15,356,82,77,84,60,9,2072,82.88
Android,BOTTOM,googlesamples/android-BasicMultitouch,0.0006782220346697917,11,9,11,8,88,8,47,29,0,0,0,0,15,19,16,61,0,64,45,25,64,0,0,4,3,57,0,1273,181,508,205,266,584,0,0,0,272,372,194,178,0,0,0,0,0,29,20,29,10,0,0,9,0,0,0,15,385,94,85,95,63,9,2072,82.88
Android,BOTTOM,googlesamples/android-BasicNetworking,1.4971091230917307e-05,11,9,11,8,76,4,43,25,0,0,0,0,11,18,13,55,0,56,38,10,56,0,0,2,2,52,0,969,124,391,161,185,454,0,0,0,200,282,151,131,0,0,0,0,0,27,22,28,8,0,0,9,0,0,0,14,448,79,73,80,55,9,2072,82.88
Android,BOTTOM,googlesamples/android-BasicNotifications,0.0024550652597099543,2,2,2,2,44,5,13,26,0,0,0,0,2,0,1,5,0,5,5,1,5,0,0,0,1,4,0,158,24,50,29,21,85,0,0,0,33,40,26,14,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,143,5,5,5,5,2,2072,82.88
Android,BOTTOM,googlesamples/android-BasicRenderScript,0.001775142620317638,2,2,2,2,17,1,11,5,0,0,0,0,4,0,0,14,0,14,14,11,14,0,1,3,5,5,0,237,38,122,48,61,77,0,0,0,73,96,51,45,0,0,0,0,0,3,3,3,2,0,0,1,0,0,0,1,121,20,20,20,14,2,2072,79.6923076923077
Android,BOTTOM,googlesamples/android-BeamLargeFiles,9.793138120916079e-05,12,11,12,10,99,4,56,35,0,0,0,0,13,18,14,61,0,62,44,8,62,0,0,2,4,56,0,1113,138,446,200,200,530,0,0,0,230,318,179,139,0,0,0,0,0,26,21,26,10,0,0,7,0,0,0,15,555,82,77,82,61,11,1863,98.05263157894737
Android,BOTTOM,googlesamples/android-BorderlessButtons,1.9248545868322253e-05,8,7,8,6,55,3,32,17,0,0,0,0,14,18,9,53,0,54,36,6,54,0,0,1,1,52,0,794,95,345,118,179,355,0,0,0,158,231,120,111,0,0,0,0,0,21,16,21,6,0,0,7,0,0,0,12,275,71,66,71,53,7,2072,82.88
Android,BOTTOM,googlesamples/android-CardReader,9.793138120916079e-05,13,12,13,10,97,4,58,30,0,0,0,0,15,21,16,69,0,71,50,11,71,0,0,3,4,64,0,1194,148,521,230,250,525,0,0,0,279,383,215,168,0,0,0,0,0,30,25,30,10,0,0,12,0,0,0,14,443,98,93,98,69,11,2072,82.88
Android,BOTTOM,googlesamples/android-ClippingBasic,0.00010772451933007687,11,10,11,9,86,7,52,24,0,0,0,0,15,18,11,61,0,62,44,12,62,0,0,2,4,56,0,1039,145,446,186,213,448,0,0,0,234,320,172,148,0,0,0,0,0,25,20,25,9,0,0,8,0,0,0,13,437,81,76,81,61,10,2140,82.3076923076923
Android,BOTTOM,googlesamples/android-codelab-watchface,0,5,5,7,5,57,4,42,9,0,0,0,0,21,0,16,81,0,81,81,88,81,0,0,26,0,55,0,1538,235,994,390,553,309,0,0,0,592,734,342,392,0,0,0,0,0,19,19,23,5,0,0,10,0,0,0,0,157,132,132,145,81,5,1890,945.0
Android,BOTTOM,googlesamples/android-CommitContentSampleApp,0,2,2,2,1,25,2,18,5,0,0,0,0,3,1,3,8,0,8,7,8,8,0,0,4,0,4,0,250,31,165,55,100,56,0,0,0,102,125,51,74,0,0,0,0,0,6,6,6,3,0,0,2,0,0,0,0,34,22,22,23,12,1,1294,161.75
Android,BOTTOM,googlesamples/android-CommitContentSampleIME,0,2,2,3,2,20,1,16,2,0,0,0,0,4,1,5,11,0,11,10,6,11,0,0,4,0,7,0,286,30,214,77,126,43,0,0,0,114,151,72,79,0,0,0,0,0,9,9,9,9,0,0,5,0,0,0,0,20,32,32,35,27,1,1294,161.75
Android,BOTTOM,googlesamples/android-ContentProviderPaging,0.011197162714476386,7,7,7,5,47,3,40,2,0,0,0,0,12,2,10,30,0,30,28,15,30,0,5,5,1,19,0,648,95,394,193,198,160,0,0,0,216,279,170,109,0,0,0,0,0,17,17,17,7,0,0,5,0,0,0,3,169,55,54,55,32,6,1141,190.16666666666666
Android,BOTTOM,googlesamples/android-CustomChoiceList,1.4971091230917307e-05,9,8,9,7,55,3,33,17,0,0,0,0,12,18,10,52,0,53,35,6,53,0,0,1,1,51,0,953,98,461,265,276,394,0,0,0,157,232,127,105,0,0,0,0,0,22,17,22,7,0,0,7,0,0,0,12,390,70,65,70,52,9,2072,82.88
Android,BOTTOM,googlesamples/android-DataLayer,0.0003489622213237453,7,7,7,5,54,5,43,4,0,0,0,0,22,2,20,65,0,66,64,25,66,0,3,10,6,47,0,1215,208,791,350,386,219,0,0,0,411,544,310,234,0,0,0,0,0,19,17,19,11,0,0,8,0,0,0,0,187,117,112,119,71,5,2021,54.62162162162162
Android,BOTTOM,googlesamples/android-DelayedConfirmation,0.0007363226419935623,4,4,4,3,22,0,22,0,0,0,0,0,8,0,10,30,0,30,30,4,30,0,0,6,4,20,0,391,47,278,107,140,66,0,0,0,114,165,90,75,0,0,0,0,0,9,9,9,6,0,0,5,0,0,0,1,57,46,46,46,33,3,2021,69.6896551724138
